Message,Label
You received ₹5000 from ABC Ltd.,ham
Your UPI payment of ₹2000 has been received,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Transaction of ₹2000 was credited to your account,ham
Urgent! Your account has been compromised. Change your password immediately,spam
Your account has been suspended. Click here to verify your identity,spam
Congratulations! You've won ₹10000! Contact us immediately,spam
You have won a ₹5000 gift card! Claim now!,spam
You have won a ₹5000 gift card! Claim now!,spam
Transaction of ₹2000 was credited to your account,ham
Your account has been suspended. Click here to verify your identity,spam
You have won a ₹5000 gift card! Claim now!,spam
Your account has been suspended. Click here to verify your identity,spam
Your UPI payment of ₹1000 is successful,ham
Your UPI payment of ₹2000 has been received,ham
Your UPI payment of ₹1000 is successful,ham
Transaction of ₹2000 was credited to your account,ham
You received ₹5000 from ABC Ltd.,ham
You have won a ₹5000 gift card! Claim now!,spam
You received ₹5000 from ABC Ltd.,ham
Your UPI payment of ₹2000 has been received,ham
Your account has been suspended. Click here to verify your identity,spam
Your account has been suspended. Click here to verify your identity,spam
Transaction of ₹2000 was credited to your account,ham
Your account has been suspended. Click here to verify your identity,spam
Your UPI payment of ₹1000 is successful,ham
Thank you for your UPI payment of ₹1500,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Congratulations! You've won ₹10000! Contact us immediately,spam
You received ₹5000 from ABC Ltd.,ham
Your account has been suspended. Click here to verify your identity,spam
Transaction of ₹2000 was credited to your account,ham
Your UPI payment of ₹2000 has been received,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Congratulations! You've won ₹10000! Contact us immediately,spam
Transaction of ₹2000 was credited to your account,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Transaction of ₹2000 was credited to your account,ham
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
You received ₹5000 from ABC Ltd.,ham
Your UPI payment of ₹2000 has been received,ham
Your UPI payment of ₹2000 has been received,ham
Your UPI payment of ₹1000 is successful,ham
Your account has been suspended. Click here to verify your identity,spam
Your UPI payment of ₹2000 has been received,ham
Your account has been suspended. Click here to verify your identity,spam
Thank you for your UPI payment of ₹1500,ham
Your account has been suspended. Click here to verify your identity,spam
Thank you for your UPI payment of ₹1500,ham
You have won a ₹5000 gift card! Claim now!,spam
Congratulations! You've won ₹10000! Contact us immediately,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI payment of ₹2000 has been received,ham
Your UPI transaction was unsuccessful. Please verify your details,spam
You have won a ₹5000 gift card! Claim now!,spam
Congratulations! You've won ₹10000! Contact us immediately,spam
Your UPI payment of ₹1000 is successful,ham
Your UPI transaction was unsuccessful. Please verify your details,spam
You have won a ₹5000 gift card! Claim now!,spam
Thank you for your UPI payment of ₹1500,ham
You have won a ₹5000 gift card! Claim now!,spam
Your UPI payment of ₹2000 has been received,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Transaction of ₹2000 was credited to your account,ham
Your account has been suspended. Click here to verify your identity,spam
You have won a ₹5000 gift card! Claim now!,spam
Your UPI payment of ₹2000 has been received,ham
Your UPI payment of ₹2000 has been received,ham
Transaction of ₹2000 was credited to your account,ham
You have won a ₹5000 gift card! Claim now!,spam
You have won a ₹5000 gift card! Claim now!,spam
You have won a ₹5000 gift card! Claim now!,spam
Your UPI payment of ₹1000 is successful,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
Transaction of ₹2000 was credited to your account,ham
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
Your account has been suspended. Click here to verify your identity,spam
Thank you for your UPI payment of ₹1500,ham
Your UPI payment of ₹2000 has been received,ham
Your account has been suspended. Click here to verify your identity,spam
Congratulations! You've won ₹10000! Contact us immediately,spam
Transaction of ₹2000 was credited to your account,ham
You have won a ₹5000 gift card! Claim now!,spam
Congratulations! You've won ₹10000! Contact us immediately,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Thank you for your UPI payment of ₹1500,ham
Your UPI transaction was unsuccessful. Please verify your details,spam
Thank you for your UPI payment of ₹1500,ham
Your account has been suspended. Click here to verify your identity,spam
You have won a ₹5000 gift card! Claim now!,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
Your UPI payment of ₹1000 is successful,ham
Your UPI payment of ₹1000 is successful,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
You received ₹5000 from ABC Ltd.,ham
You received ₹5000 from ABC Ltd.,ham
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI payment of ₹1000 is successful,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Congratulations! You've won ₹10000! Contact us immediately,spam
Your account has been suspended. Click here to verify your identity,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
Thank you for your UPI payment of ₹1500,ham
Your account has been suspended. Click here to verify your identity,spam
You received ₹5000 from ABC Ltd.,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Congratulations! You've won ₹10000! Contact us immediately,spam
Your account has been suspended. Click here to verify your identity,spam
Your UPI payment of ₹1000 is successful,ham
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI payment of ₹1000 is successful,ham
You have won a ₹5000 gift card! Claim now!,spam
Your UPI payment of ₹1000 is successful,ham
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
Transaction of ₹2000 was credited to your account,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Your UPI payment of ₹1000 is successful,ham
Your UPI payment of ₹2000 has been received,ham
Your UPI transaction was unsuccessful. Please verify your details,spam
You received ₹5000 from ABC Ltd.,ham
Your UPI transaction was unsuccessful. Please verify your details,spam
Your account has been suspended. Click here to verify your identity,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI payment of ₹2000 has been received,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
You have won a ₹5000 gift card! Claim now!,spam
Your account has been suspended. Click here to verify your identity,spam
You received ₹5000 from ABC Ltd.,ham
Your UPI payment of ₹1000 is successful,ham
Your UPI transaction was unsuccessful. Please verify your details,spam
Your account has been suspended. Click here to verify your identity,spam
Your account has been suspended. Click here to verify your identity,spam
Your UPI payment of ₹2000 has been received,ham
Transaction of ₹2000 was credited to your account,ham
You received ₹5000 from ABC Ltd.,ham
Your UPI payment of ₹1000 is successful,ham
Your account has been suspended. Click here to verify your identity,spam
You have won a ₹5000 gift card! Claim now!,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
Your UPI payment of ₹2000 has been received,ham
Your account has been suspended. Click here to verify your identity,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Transaction of ₹2000 was credited to your account,ham
Urgent! Your account has been compromised. Change your password immediately,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI payment of ₹2000 has been received,ham
Your UPI payment of ₹1000 is successful,ham
Your UPI payment of ₹2000 has been received,ham
You received ₹5000 from ABC Ltd.,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI payment of ₹1000 is successful,ham
You received ₹5000 from ABC Ltd.,ham
Transaction of ₹2000 was credited to your account,ham
Your UPI transaction was unsuccessful. Please verify your details,spam
Congratulations! You've won ₹10000! Contact us immediately,spam
Your UPI payment of ₹2000 has been received,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
You have won a ₹5000 gift card! Claim now!,spam
Your account has been suspended. Click here to verify your identity,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
Your UPI payment of ₹1000 is successful,ham
You received ₹5000 from ABC Ltd.,ham
Your account has been suspended. Click here to verify your identity,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Your account has been suspended. Click here to verify your identity,spam
You have won a ₹5000 gift card! Claim now!,spam
Your UPI payment of ₹2000 has been received,ham
Urgent! Your account has been compromised. Change your password immediately,spam
Thank you for your UPI payment of ₹1500,ham
Your account has been suspended. Click here to verify your identity,spam
You have won a ₹5000 gift card! Claim now!,spam
Thank you for your UPI payment of ₹1500,ham
Urgent! Your account has been compromised. Change your password immediately,spam
Urgent! Your account has been compromised. Change your password immediately,spam
You received ₹5000 from ABC Ltd.,ham
Your account has been suspended. Click here to verify your identity,spam
You received ₹5000 from ABC Ltd.,ham
Your UPI payment of ₹1000 is successful,ham
Congratulations! You've won ₹10000! Contact us immediately,spam
Your UPI payment of ₹2000 has been received,ham
Thank you for your UPI payment of ₹1500,ham
Your account has been suspended. Click here to verify your identity,spam
Thank you for your UPI payment of ₹1500,ham
Your account has been suspended. Click here to verify your identity,spam
Thank you for your UPI payment of ₹1500,ham
You have won a ₹5000 gift card! Claim now!,spam
You have won a ₹5000 gift card! Claim now!,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI transaction was unsuccessful. Please verify your details,spam
Urgent! Your account has been compromised. Change your password immediately,spam
Your UPI payment of ₹1000 is successful,ham
Thank you for your UPI payment of ₹1500,ham
